,id,city,city_new_name,lat,lon,daily_temperature,wind,rain,weather_score
24,24,Nimes,Nimes,43.8374249,4.3600687,"[26.44, 26.17, 27.77, 28.37, 28.26, 30.03, 28.12]","[4.6, 5.51, 7.06, 7.39, 7.48, 6.35, 7.21]","[0.92, 0.87, 0, 0, 0, 0, 0.48]",52.179
21,21,Aix en Provence,Aix+en+Provence,43.5298424,5.4474738,"[25.8, 24.85, 27.14, 27.22, 28.37, 28.92, 28.37]","[5.89, 6.36, 6.22, 7.33, 3.6, 5.05, 6.18]","[1, 1, 0.03, 0, 0, 0, 0.25]",51.249
22,22,Avignon,Avignon,43.9492493,4.8059012,"[26.17, 25.75, 25.74, 26.47, 27.31, 30.41, 29.32]","[5.26, 7.79, 10.16, 10.11, 7.43, 5.92, 7.33]","[0.96, 0.93, 0, 0, 0, 0, 0.29]",50.451
23,23,Uzes,Uzes,44.0121279,4.4196718,"[25.18, 25.13, 26.36, 26.85, 26.8, 28.77, 27.72]","[4.22, 5.59, 7.13, 7.44, 7.86, 6.36, 7.56]","[0.92, 0.88, 0, 0, 0, 0, 0.51]",49.747
25,25,Aigues Mortes,Aigues+Mortes,43.5658225,4.1912837,"[24.66, 25.18, 27.38, 28.26, 28.13, 25.89, 25.29]","[6.22, 5.7, 5.88, 6.68, 6.24, 5.46, 6.38]","[0.88, 0.81, 0, 0, 0, 0, 0.36]",49.464
15,15,Grenoble,Grenoble,45.1875602,5.7357819,"[21.3, 24.67, 24.35, 24.73, 25.52, 29.95, 28.34]","[1.76, 3.37, 3.19, 3.37, 3.04, 1.91, 1.95]","[1, 0.92, 0.05, 0, 0, 0, 0.77]",49.384
16,16,Lyon,Lyon,45.7578137,4.8320114,"[25.7, 23.41, 24.63, 25.16, 26.33, 27.93, 28.33]","[1.77, 5.79, 4.78, 5.3, 4.15, 2.87, 5.87]","[0.77, 0.55, 0, 0, 0, 0, 0.78]",49.374
5,5,Paris,Paris,48.8534951,2.3483915,"[26.69, 25.83, 24.99, 26.08, 26.26, 27.97, 21.71]","[5.65, 4.14, 3.68, 3.34, 2.9, 4.25, 2.87]","[0.01, 0, 0, 0, 0, 0, 0.73]",49.272
7,7,Lille,Lille,50.6365654,3.0635282,"[26.75, 24.69, 24.23, 24.7, 24.72, 25.94, 28.5]","[5.7, 5.01, 4.78, 5.55, 4.21, 4, 4.54]","[0, 0, 0, 0, 0, 0, 0.03]",48.876
27,27,Collioure,Collioure,42.52505,3.0831554,"[23.23, 23.51, 26.64, 27.96, 27.07, 27.33, 26.38]","[4.48, 11.64, 10.29, 8.17, 4.69, 4.08, 4.66]","[0.89, 0.77, 0, 0, 0, 0.24, 0.27]",48.295
0,0,Mont Saint Michel,Mont+Saint+Michel,48.6359541,-1.511459954959514,"[24.9, 24.39, 24.82, 25.58, 27.34, 28.17, 22.84]","[4.88, 5.26, 4.93, 4.73, 4.27, 6.71, 3.84]","[0.3, 0.04, 0, 0, 0, 0.02, 1]",48.201
8,8,Strasbourg,Strasbourg,48.584614,7.7507127,"[23.91, 21.64, 24.07, 24.6, 25.24, 27.41, 30]","[6.37, 6.07, 5.93, 3.64, 3.41, 2.72, 4.19]","[0, 0, 0, 0.09, 0, 0, 0.81]",48.096
10,10,Colmar,Colmar,48.0777517,7.3579641,"[23.35, 22.03, 23.74, 24.08, 25.5, 26.62, 29.51]","[6.58, 5.51, 4.86, 3.36, 2.52, 2.11, 2.62]","[0, 0, 0, 0.07, 0, 0, 0.81]",47.857
11,11,Eguisheim,Eguisheim,48.0447968,7.3079618,"[23.32, 22.02, 23.67, 24.03, 25.59, 26.55, 29.52]","[6.55, 5.17, 4.71, 3.36, 2.43, 2.12, 2.78]","[0, 0, 0, 0.06, 0, 0, 0.82]",47.851
31,31,Montauban,Montauban,44.0175835,1.3549991,"[24.3, 24.29, 25.63, 26.32, 26.98, 28.78, 20.03]","[5.24, 6.85, 5.95, 4.41, 1.91, 7.76, 3.67]","[1, 0.85, 0, 0, 0, 0.98, 1]",47.276
28,28,Carcassonne,Carcassonne,43.2130358,2.3491069,"[24.43, 20.35, 25.42, 27.02, 29.14, 27.49, 24.43]","[5.26, 8.12, 7.65, 6.46, 3.55, 8.17, 6.44]","[1, 0.99, 0, 0, 0.01, 0.62, 0.81]",47.186
14,14,Annecy,Annecy,45.8992348,6.1288847,"[23.22, 22.28, 23.58, 23.23, 24.05, 26.45, 27.64]","[1.83, 2.89, 3.03, 3.26, 2.79, 1.7, 2.52]","[0.81, 0.48, 0.2, 0, 0, 0, 0.9]",47.071
19,19,Cassis,Cassis,43.2140359,5.5396318,"[23.93, 24.36, 25.83, 26.82, 25.08, 25.42, 25.3]","[5.77, 5.73, 8.06, 9.24, 4.08, 5.32, 5.69]","[1, 1, 0.09, 0.01, 0.01, 0, 0.03]",47.056
12,12,Besancon,Besancon,47.2380222,6.0243622,"[24.19, 23.09, 23.69, 23.89, 24.76, 27.49, 24.4]","[5, 5.21, 3.93, 3.62, 3.22, 3.5, 4.04]","[0, 0, 0, 0, 0, 0, 0.96]",46.829
26,26,Saintes Maries de la mer,Saintes+Maries+de+la+mer,43.4522771,4.4287172,"[24.12, 23.27, 26.36, 27.09, 26.84, 24.61, 24.31]","[6.33, 5.6, 7.4, 8.24, 8.24, 5.51, 6.64]","[0.92, 0.86, 0, 0, 0, 0, 0.29]",46.736
20,20,Marseille,Marseille,43.2961743,5.3699525,"[24.01, 24.35, 26.13, 26.59, 25.68, 25.17, 25.06]","[6.19, 6.44, 9.47, 10.26, 5.67, 5.46, 6.34]","[1, 1, 0.03, 0, 0, 0, 0.06]",46.711
4,4,Rouen,Rouen,49.4404591,1.0939658,"[25.54, 24.93, 23.47, 24.5, 24.06, 25.65, 23.28]","[4.08, 4.33, 3.6, 3.95, 3.51, 5.63, 5.36]","[0.31, 0, 0, 0, 0, 0, 0.91]",46.63
30,30,Toulouse,Toulouse,43.6044622,1.4442469,"[21.63, 21.03, 25.39, 26.44, 27.19, 28.54, 24.2]","[5.74, 7.77, 7.02, 4.53, 2.32, 7.7, 4.41]","[1, 1, 0, 0, 0.02, 1, 1]",46.439
18,18,Bormes les Mimosas,Bormes+les+Mimosas,43.1506968,6.3419285,"[24.05, 21.38, 24.14, 23.36, 24.59, 25.31, 24.94]","[4.02, 3.24, 3.87, 3.35, 3.53, 3.83, 3.23]","[0.99, 0.99, 0.34, 0.23, 0.05, 0, 0.01]",45.771
